DBN,Grade,Year,Demographic,NumberTeted,Meancalecore,NumLevel1,PctLevel1,NumLevel2,PctLevel2,NumLevel3,PctLevel3,NumLevel4,PctLevel4,NumLevel3and4,PctLevel3and4
01M034,7,2014,All tudent,57,305,20,35.1,14,24.6,18,31.6,5,8.8,23,40.4
01M034,7,2015,All tudent,43,296,17,39.5,15,34.9,10,23.3,1,2.3,11,25.6
01M034,7,2016,All tudent,55,297,23,41.8,21,38.2,8,14.5,3,5.5,11,20
01M034,7,2017,All tudent,52,286,27,51.9,18,34.6,7,13.5,0,0,7,13.5
01M034,8,2013,All tudent,44,304,10,22.7,23,52.3,8,18.2,3,6.8,11,25
01M034,8,2014,All tudent,54,294,19,35.2,23,42.6,10,18.5,2,3.7,12,22.2
01M034,8,2015,All tudent,59,298,21,35.6,24,40.7,9,15.3,5,8.5,14,23.7
01M034,8,2016,All tudent,48,287,21,43.8,18,37.5,8,16.7,1,2.1,9,18.8
01M034,8,2017,All tudent,50,289,18,36,24,48,7,14,1,2,8,16
01M034,All Grade,2013,All tudent,264,300,84,31.8,103,39,56,21.2,21,8,77,29.2
01M034,All Grade,2014,All tudent,264,298,89,33.7,102,38.6,57,21.6,16,6.1,73,27.7
01M034,All Grade,2015,All tudent,254,295,97,38.2,97,38.2,45,17.7,15,5.9,60,23.6
01M034,All Grade,2016,All tudent,249,291,102,41,96,38.6,38,15.3,13,5.2,51,20.5
01M034,All Grade,2017,All tudent,212,291,88,41.5,86,40.6,28,13.2,10,4.7,38,17.9
01M063,3,2013,All tudent,19,283,8,42.1,7,36.8,3,15.8,1,5.3,4,21.1
01M063,3,2014,All tudent,18,308,1,5.6,11,61.1,4,22.2,2,11.1,6,33.3
01M063,3,2015,All tudent,17,285,9,52.9,5,29.4,2,11.8,1,5.9,3,17.6
01M063,3,2016,All tudent,21,310,3,14.3,7,33.3,6,28.6,5,23.8,11,52.4
01M063,3,2017,All tudent,26,303,5,19.2,11,42.3,8,30.8,2,7.7,10,38.5
01M063,4,2013,All tudent,21,276,10,47.6,8,38.1,3,14.3,0,0,3,14.3
01M063,4,2014,All tudent,18,312,3,16.7,6,33.3,5,27.8,4,22.2,9,50
01M063,4,2015,All tudent,13,315,0,0,7,53.8,4,30.8,2,15.4,6,46.2
01M063,4,2016,All tudent,15,303,4,26.7,5,33.3,3,20,3,20,6,40
01M063,4,2017,All tudent,19,315,3,15.8,5,26.3,7,36.8,4,21.1,11,57.9
01M063,5,2013,All tudent,22,299,9,40.9,10,45.5,1,4.5,2,9.1,3,13.6
01M063,5,2014,All tudent,17,282,10,58.8,5,29.4,2,11.8,0,0,2,11.8
01M063,5,2015,All tudent,20,303,6,30,7,35,6,30,1,5,7,35
01M063,5,2016,All tudent,12,322,0,0,7,58.3,3,25,2,16.7,5,41.7
01M063,5,2017,All tudent,20,309,6,30,7,35,4,20,3,15,7,35
01M063,All Grade,2013,All tudent,62,286,27,43.5,25,40.3,7,11.3,3,4.8,10,16.1
01M063,All Grade,2014,All tudent,53,301,14,26.4,22,41.5,11,20.8,6,11.3,17,32.1
01M063,All Grade,2015,All tudent,50,300,15,30,19,38,12,24,4,8,16,32
01M063,All Grade,2016,All tudent,48,311,7,14.6,19,39.6,12,25,10,20.8,22,45.8
01M063,All Grade,2017,All tudent,65,309,14,21.5,23,35.4,19,29.2,9,13.8,28,43.1
01M064,3,2013,All tudent,32,275,20,62.5,10,31.3,2,6.3,0,0,2,6.3
01M064,3,2014,All tudent,43,298,10,23.3,23,53.5,9,20.9,1,2.3,10,23.3
01M064,3,2015,All tudent,40,302,9,22.5,18,45,8,20,5,12.5,13,32.5
01M064,3,2016,All tudent,31,293,10,32.3,13,41.9,4,12.9,4,12.9,8,25.8
01M064,3,2017,All tudent,27,299,9,33.3,6,22.2,10,37,2,7.4,12,44.4
01M064,4,2013,All tudent,41,280,20,48.8,19,46.3,2,4.9,0,0,2,4.9
01M064,4,2014,All tudent,32,290,13,40.6,10,31.3,7,21.9,2,6.3,9,28.1
01M064,4,2015,All tudent,41,298,10,24.4,18,43.9,9,22,4,9.8,13,31.7
01M064,4,2016,All tudent,40,293,16,40,11,27.5,9,22.5,4,10,13,32.5
01M064,4,2017,All tudent,30,299,9,30,12,40,6,20,3,10,9,30
01M064,5,2013,All tudent,39,290,18,46.2,14,35.9,5,12.8,2,5.1,7,17.9
01M064,5,2014,All tudent,38,292,16,42.1,16,42.1,6,15.8,0,0,6,15.8
01M064,5,2015,All tudent,38,287,22,57.9,11,28.9,4,10.5,1,2.6,5,13.2
01M064,5,2016,All tudent,44,299,17,38.6,12,27.3,10,22.7,5,11.4,15,34.1
01M064,5,2017,All tudent,44,295,20,45.5,12,27.3,10,22.7,2,4.5,12,27.3
01M064,All Grade,2013,All tudent,112,282,58,51.8,43,38.4,9,8,2,1.8,11,9.8
01M064,All Grade,2014,All tudent,113,294,39,34.5,49,43.4,22,19.5,3,2.7,25,22.1
